Result of,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=1,1.0,0.0,0.9999999999979583,True,1000
speed_5_10_Y=1,1.0,0.0,0.9999999959009276,True,1000
speed_10_15_Y=1,1.0,0.0,0.9995732395212297,True,1000
speed_15_20_Y=1,1.0,0.0,0.9930884911049448,True,1000
speed_20_25_Y=1,0.9,0.1,0.8601171306195059,True,1000
speed_25_30_Y=1,0.9,0.1,0.8673763746327285,True,1000
speed_30_35_Y=1,0.9,0.1,0.8867562664916461,True,1000
speed_35_40_Y=1,0.9,0.1,0.8527379768563244,True,1000
speed_40_45_Y=1,0.8,0.2,0.8001218558491983,True,1000
speed_45_50_Y=1,0.9,0.1,0.7998753995845133,True,1000
speed_50_55_Y=1,0.9,0.1,0.8749529409040739,True,1000
speed_55_60_Y=1,1.0,0.0,0.8615339640824559,True,1000
speed_60_65_Y=1,1.0,0.0,0.9999938523238496,True,1000
speed_65_70_Y=1,1.0,0.0,0.9999998615459784,True,1000
speed_70_75_Y=1,0.7,0.3,0.7004999340205849,True,1000
speed_75_80_Y=1,0.6,0.4,0.4396688397533466,True,1000
speed_80_85_Y=1,0.1,0.9,0.00908690333059488,False,1000
speed_85_90_Y=1,0.0,1.0,1.2238505805127112e-11,False,1000
speed_90_95_Y=1,0.0,1.0,3.2496394055974795e-17,False,1000
speed_95_100_Y=1,0.0,1.0,1.535930741602281e-08,False,1000
speed_100_105_Y=1,0.0,1.0,0.0007916078208572704,False,1000
speed_105_110_Y=1,0.7,0.3,0.09349455589368703,True,725
speed_110_115_Y=1,1.0,0.0,0.29749854256892133,True,494
speed_115_120_Y=1,1.0,0.0,0.3565717803831113,True,435
