Result of,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=5,1.0,0.0,1.0,True,1000
speed_5_10_Y=5,1.0,0.0,1.0,True,1000
speed_10_15_Y=5,1.0,0.0,1.0,True,1000
speed_15_20_Y=5,1.0,0.0,0.9999999999139947,True,1000
speed_20_25_Y=5,1.0,0.0,0.999999999999889,True,1000
speed_25_30_Y=5,1.0,0.0,0.9999982978576861,True,1000
speed_30_35_Y=5,1.0,0.0,0.9999999998045824,True,1000
speed_35_40_Y=5,1.0,0.0,0.9999999999994296,True,1000
speed_40_45_Y=5,1.0,0.0,0.9999999977847669,True,1000
speed_45_50_Y=5,1.0,0.0,0.9999999978143957,True,1000
speed_50_55_Y=5,1.0,0.0,0.9999999897770333,True,1000
speed_55_60_Y=5,1.0,0.0,0.9966528373165273,True,1000
speed_60_65_Y=5,1.0,0.0,0.999994806727508,True,1000
speed_65_70_Y=5,1.0,0.0,0.9663672925621132,True,1000
speed_70_75_Y=5,1.0,0.0,0.7292292483486774,True,1000
speed_75_80_Y=5,1.0,0.0,0.49411714309820126,True,1000
speed_80_85_Y=5,1.0,0.0,0.7501206545272077,True,1000
speed_85_90_Y=5,1.0,0.0,0.7262898818755448,True,456
speed_90_95_Y=5,1.0,0.0,0.5082075075738233,True,224
speed_95_100_Y=5,1.0,0.0,0.7074933292509648,True,105
speed_100_105_Y=5,1.0,0.0,0.8838390979259778,True,83
speed_105_110_Y=5,1.0,0.0,0.8326061132869661,True,44
speed_110_115_Y=5,1.0,0.0,0.8004626080633235,True,45
speed_115_120_Y=5,1.0,0.0,0.9773571660971333,True,18
