Result of,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=4,1.0,0.0,1.0,True,1000
speed_5_10_Y=4,1.0,0.0,0.9999999995620874,True,1000
speed_10_15_Y=4,1.0,0.0,1.0,True,1000
speed_15_20_Y=4,1.0,0.0,0.9999999999999991,True,1000
speed_20_25_Y=4,1.0,0.0,0.9999999827762636,True,1000
speed_25_30_Y=4,1.0,0.0,0.9999999994613769,True,1000
speed_30_35_Y=4,1.0,0.0,0.9999999999720437,True,1000
speed_35_40_Y=4,1.0,0.0,0.9999999995783805,True,1000
speed_40_45_Y=4,1.0,0.0,0.9999838597732807,True,1000
speed_45_50_Y=4,1.0,0.0,0.9999999999995733,True,1000
speed_50_55_Y=4,1.0,0.0,0.9999999999763112,True,1000
speed_55_60_Y=4,1.0,0.0,0.999995950881513,True,1000
speed_60_65_Y=4,1.0,0.0,1.0,True,1000
speed_65_70_Y=4,1.0,0.0,0.9653493178155811,True,1000
speed_70_75_Y=4,1.0,0.0,0.9737663777365159,True,1000
speed_75_80_Y=4,1.0,0.0,0.6483558808250427,True,1000
speed_80_85_Y=4,1.0,0.0,0.5921060467280027,True,1000
speed_85_90_Y=4,1.0,0.0,0.7578793617764684,True,1000
speed_90_95_Y=4,1.0,0.0,0.6528370192435872,True,495
speed_95_100_Y=4,1.0,0.0,0.5670986727878408,True,260
speed_100_105_Y=4,1.0,0.0,0.6343682783635746,True,152
speed_105_110_Y=4,1.0,0.0,0.7921071069912425,True,86
speed_110_115_Y=4,1.0,0.0,0.7026955366540335,True,65
speed_115_120_Y=4,1.0,0.0,0.8816312109885986,True,49
