Result of,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=3,1.0,0.0,0.9999999999996504,True,1000
speed_5_10_Y=3,1.0,0.0,1.0,True,1000
speed_10_15_Y=3,1.0,0.0,1.0,True,1000
speed_15_20_Y=3,1.0,0.0,0.9999999999981615,True,1000
speed_20_25_Y=3,1.0,0.0,0.9999999999882052,True,1000
speed_25_30_Y=3,1.0,0.0,0.9999999999089969,True,1000
speed_30_35_Y=3,1.0,0.0,0.9999994679964749,True,1000
speed_35_40_Y=3,1.0,0.0,0.9999999545334826,True,1000
speed_40_45_Y=3,1.0,0.0,0.9999999996662412,True,1000
speed_45_50_Y=3,1.0,0.0,0.9999656007246156,True,1000
speed_50_55_Y=3,1.0,0.0,0.9999999999999332,True,1000
speed_55_60_Y=3,1.0,0.0,0.999999999405891,True,1000
speed_60_65_Y=3,1.0,0.0,0.9999999995874831,True,1000
speed_65_70_Y=3,1.0,0.0,0.9982991776136197,True,1000
speed_70_75_Y=3,1.0,0.0,0.9546824256099409,True,1000
speed_75_80_Y=3,1.0,0.0,0.9622976074708867,True,1000
speed_80_85_Y=3,1.0,0.0,0.6372832335871752,True,1000
speed_85_90_Y=3,1.0,0.0,0.5712312121775723,True,1000
speed_90_95_Y=3,0.8,0.2,0.5842491225710276,True,1000
speed_95_100_Y=3,1.0,0.0,0.4657956900882124,True,532
speed_100_105_Y=3,1.0,0.0,0.39777186100456124,True,301
speed_105_110_Y=3,1.0,0.0,0.4886361305939637,True,189
speed_110_115_Y=3,1.0,0.0,0.6417900575066846,True,139
speed_115_120_Y=3,1.0,0.0,0.350117481464277,True,122
