Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=1,1.0,0.0,0.9987154779364178,True,1000
speed_5_10_Y=1,0.8333333333333334,0.16666666666666666,0.677496772789605,True,1000
speed_10_15_Y=1,0.4166666666666667,0.5833333333333334,0.3288504263391254,True,1000
speed_15_20_Y=1,0.25,0.75,0.17584634743479108,True,1000
speed_20_25_Y=1,0.0,1.0,8.174793968072512e-05,False,1000
speed_25_30_Y=1,0.0,1.0,4.401772845261384e-14,False,1000
speed_30_35_Y=1,0.0,1.0,7.185340950718556e-16,False,1000
speed_35_40_Y=1,0.0,1.0,3.1099215557327562e-30,False,1000
speed_40_45_Y=1,0.0,1.0,8.347901348330613e-46,False,1000
speed_45_50_Y=1,0.0,1.0,1.6887314406658973e-53,False,1000
speed_50_55_Y=1,0.0,1.0,2.5948145864127324e-56,False,1000
speed_55_60_Y=1,0.0,1.0,6.930974168607067e-73,False,1000
speed_60_65_Y=1,0.0,1.0,2.948021423277549e-79,False,1000
speed_65_70_Y=1,0.0,1.0,3.9241017036338676e-85,False,1000
speed_70_75_Y=1,0.0,1.0,4.867320848114878e-83,False,1000
speed_75_80_Y=1,0.0,1.0,4.5557629659637227e-91,False,1000
speed_80_85_Y=1,0.0,1.0,8.564362089045383e-88,False,1000
speed_85_90_Y=1,0.0,1.0,6.463258918785009e-79,False,1000
speed_90_95_Y=1,0.0,1.0,4.005815438848865e-68,False,1000
speed_95_100_Y=1,0.0,1.0,8.977088630271393e-61,False,1000
speed_100_105_Y=1,0.0,1.0,1.3713345512694212e-53,False,1000
speed_105_110_Y=1,0.0,1.0,8.169596831403754e-47,False,1000
speed_110_115_Y=1,0.0,1.0,1.0327669269623474e-42,False,1000
speed_115_120_Y=1,0.0,1.0,1.2714747198703051e-31,False,881
