Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=4,1.0,0.0,0.9999999948388844,True,1000
speed_5_10_Y=4,1.0,0.0,0.9999970429178023,True,1000
speed_10_15_Y=4,1.0,0.0,0.9999937875469906,True,1000
speed_15_20_Y=4,1.0,0.0,0.9985352915271459,True,1000
speed_20_25_Y=4,1.0,0.0,0.9965314722189328,True,1000
speed_25_30_Y=4,1.0,0.0,0.9892344605753794,True,1000
speed_30_35_Y=4,1.0,0.0,0.877351883309982,True,1000
speed_35_40_Y=4,1.0,0.0,0.8966118693589147,True,1000
speed_40_45_Y=4,1.0,0.0,0.7769621492885751,True,1000
speed_45_50_Y=4,1.0,0.0,0.8244024501193152,True,1000
speed_50_55_Y=4,1.0,0.0,0.5453826831137415,True,1000
speed_55_60_Y=4,0.7916666666666666,0.20833333333333334,0.315814758993919,True,1000
speed_60_65_Y=4,0.8333333333333334,0.16666666666666666,0.29880645071920026,True,1000
speed_65_70_Y=4,0.9166666666666666,0.08333333333333333,0.28580149185924375,True,1000
speed_70_75_Y=4,0.8333333333333334,0.16666666666666666,0.24924510802694733,True,1000
speed_75_80_Y=4,0.2916666666666667,0.7083333333333334,0.056661565804264735,True,1000
speed_80_85_Y=4,0.9166666666666666,0.08333333333333333,0.3815379245390647,True,1000
speed_85_90_Y=4,0.08333333333333333,0.9166666666666666,0.020084491181302924,False,1000
speed_90_95_Y=4,0.0,1.0,0.010683128145854594,False,1000
speed_95_100_Y=4,0.16666666666666666,0.8333333333333334,0.02733455051189713,False,664
speed_100_105_Y=4,0.9166666666666666,0.08333333333333333,0.16883494789840847,True,493
speed_105_110_Y=4,1.0,0.0,0.76541559104465,True,403
speed_110_115_Y=4,1.0,0.0,0.7732728448278566,True,320
speed_115_120_Y=4,1.0,0.0,0.914180000714944,True,301
