Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=5,1,0,0.999999993,TRUE,1000
speed_5_10_Y=5,1,0,0.999998889,TRUE,1000
speed_10_15_Y=5,1,0,0.999974689,TRUE,1000
speed_15_20_Y=5,1,0,0.999778742,TRUE,1000
speed_20_25_Y=5,1,0,0.996887902,TRUE,1000
speed_25_30_Y=5,1,0,0.976762129,TRUE,1000
speed_30_35_Y=5,1,0,0.933348411,TRUE,1000
speed_35_40_Y=5,1,0,0.960089895,TRUE,1000
speed_40_45_Y=5,1,0,0.909042794,TRUE,1000
speed_45_50_Y=5,1,0,0.877955867,TRUE,1000
speed_50_55_Y=5,1,0,0.887791722,TRUE,1000
speed_55_60_Y=5,1,0,0.659232627,TRUE,1000
speed_60_65_Y=5,1,0,0.596554024,TRUE,1000
speed_65_70_Y=5,1,0,0.594832134,TRUE,1000
speed_70_75_Y=5,1,0,0.667752741,TRUE,1000
speed_75_80_Y=5,1,0,0.733237077,TRUE,1000
speed_80_85_Y=5,0.75,0.25,0.387562854,TRUE,1000
speed_85_90_Y=5,0.416666667,0.583333333,0.066087755,TRUE,1000
speed_90_95_Y=5,0.833333333,0.166666667,0.269580039,TRUE,873
speed_95_100_Y=5,0.333333333,0.666666667,0.04488445,FALSE,593
speed_100_105_Y=5,1,0,0.612274904,TRUE,441
speed_105_110_Y=5,1,0,0.779869991,TRUE,369
speed_110_115_Y=5,1,0,0.721725046,TRUE,293
speed_115_120_Y=5,1,0,0.746590599,TRUE,274
