Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=3,1.0,0.0,0.9999999993938465,True,1000
speed_5_10_Y=3,1.0,0.0,0.9976095433316353,True,1000
speed_10_15_Y=3,1.0,0.0,0.9988367835468743,True,1000
speed_15_20_Y=3,1.0,0.0,0.9860257428511577,True,1000
speed_20_25_Y=3,1.0,0.0,0.9958466691309269,True,1000
speed_25_30_Y=3,1.0,0.0,0.9440328983039152,True,1000
speed_30_35_Y=3,1.0,0.0,0.789828734230245,True,1000
speed_35_40_Y=3,1.0,0.0,0.635734628470696,True,1000
speed_40_45_Y=3,0.9166666666666666,0.08333333333333333,0.48519563582883274,True,1000
speed_45_50_Y=3,0.5,0.5,0.12694233642378683,True,1000
speed_50_55_Y=3,0.4166666666666667,0.5833333333333334,0.07372130207782061,True,1000
speed_55_60_Y=3,0.0,1.0,0.01004724148248768,False,1000
speed_60_65_Y=3,0.041666666666666664,0.9583333333333334,0.012129770094951033,False,1000
speed_65_70_Y=3,0.0,1.0,0.001653704298265814,False,1000
speed_70_75_Y=3,0.0,1.0,0.0011973421354872834,False,1000
speed_75_80_Y=3,0.0,1.0,0.00017084913907833364,False,1000
speed_80_85_Y=3,0.0,1.0,0.0001835552122134656,False,1000
speed_85_90_Y=3,0.0,1.0,0.000410127680027801,False,1000
speed_90_95_Y=3,0.0,1.0,5.1852102977400615e-08,False,1000
speed_95_100_Y=3,0.0,1.0,1.4333065154166768e-06,False,914
speed_100_105_Y=3,0.0,1.0,0.0007420840700154336,False,594
speed_105_110_Y=3,0.0,1.0,0.00358091932934985,False,508
speed_110_115_Y=3,0.75,0.25,0.2128646537102191,True,430
speed_115_120_Y=3,1.0,0.0,0.8861710300282803,True,360
