Result,Average_Pvalue,H0avr,Number_of_rows
regionAndHour_1_1_0_Y=5,0.9999999986657654,True,109
regionAndHour_1_1_1_Y=5,0.9999966097845575,True,103
regionAndHour_1_1_2_Y=5,0.9999958372951622,True,60
regionAndHour_1_1_3_Y=5,0.9999997392551581,True,85
regionAndHour_1_1_4_Y=5,0.9999998892765944,True,156
regionAndHour_1_1_5_Y=5,0.9999990969501458,True,83
regionAndHour_1_1_6_Y=5,0.999999963761223,True,144
regionAndHour_1_1_7_Y=5,0.9999992181501589,True,103
regionAndHour_1_1_8_Y=5,0.9999661634126954,True,73
regionAndHour_1_1_9_Y=5,0.9999999740819723,True,115
regionAndHour_1_1_10_Y=5,0.9999999999640758,True,159
regionAndHour_1_1_11_Y=5,0.9999999708460509,True,176
regionAndHour_1_1_12_Y=5,0.9999992554875121,True,69
regionAndHour_1_1_13_Y=5,1.0,True,146
regionAndHour_1_1_14_Y=5,0.9999999999994966,True,165
regionAndHour_1_1_15_Y=5,0.9999999999998981,True,201
regionAndHour_1_1_16_Y=5,0.9999999851922313,True,174
regionAndHour_1_1_17_Y=5,0.9999992292639525,True,108
regionAndHour_1_1_18_Y=5,0.9999999998193847,True,201
regionAndHour_1_1_19_Y=5,0.9999998671451392,True,120
regionAndHour_1_1_20_Y=5,0.9916557748856292,True,102
regionAndHour_1_1_21_Y=5,0.9999914661285171,True,90
regionAndHour_1_1_22_Y=5,0.9999999999999822,True,177
regionAndHour_1_1_23_Y=5,1.0,True,159
regionAndHour_1_2_0_Y=5,0.9999795469075895,True,1000
regionAndHour_1_2_1_Y=5,0.999981634974909,True,1000
regionAndHour_1_2_2_Y=5,0.9999878187078087,True,1000
regionAndHour_1_2_3_Y=5,0.9999996231327916,True,1000
regionAndHour_1_2_4_Y=5,0.9999058259963886,True,1000
regionAndHour_1_2_5_Y=5,0.9999994116760822,True,1000
regionAndHour_1_2_6_Y=5,0.9999996745247123,True,1000
regionAndHour_1_2_7_Y=5,0.9999970970827795,True,1000
regionAndHour_1_2_8_Y=5,0.999999857966871,True,1000
regionAndHour_1_2_9_Y=5,0.9999999677053066,True,1000
regionAndHour_1_2_10_Y=5,0.9999997660507112,True,1000
regionAndHour_1_2_11_Y=5,0.9999958309563767,True,1000
regionAndHour_1_2_12_Y=5,0.9999938055632092,True,1000
regionAndHour_1_2_13_Y=5,0.9999737617768727,True,1000
regionAndHour_1_2_14_Y=5,0.9946238855192571,True,1000
regionAndHour_1_2_15_Y=5,0.9999249753642817,True,1000
regionAndHour_1_2_16_Y=5,0.9999998077202015,True,1000
regionAndHour_1_2_17_Y=5,0.9999999096184683,True,1000
regionAndHour_1_2_18_Y=5,0.9999999988329464,True,1000
regionAndHour_1_2_19_Y=5,0.9999997370482719,True,1000
