Result,Average_Pvalue,H0avr,Number_of_rows
regionAndHour_2_2_4_Y=4,0.9615637748186895,True,1000
regionAndHour_2_2_5_Y=4,0.9361912839363201,True,1000
regionAndHour_2_2_6_Y=4,0.9612148849449805,True,1000
regionAndHour_2_2_7_Y=4,0.9392370297273573,True,1000
regionAndHour_2_2_8_Y=4,0.9348663505004152,True,1000
regionAndHour_2_2_9_Y=4,0.8503344074370199,True,1000
regionAndHour_2_2_10_Y=4,0.911305873634995,True,1000
regionAndHour_2_2_11_Y=4,0.891040799902996,True,1000
regionAndHour_2_2_12_Y=4,0.9068837528966269,True,1000
regionAndHour_2_2_13_Y=4,0.9464089070201641,True,1000
regionAndHour_2_2_14_Y=4,0.9102912959981163,True,1000
regionAndHour_2_2_15_Y=4,0.8908698456850436,True,1000
regionAndHour_2_2_16_Y=4,0.8789600100169285,True,1000
regionAndHour_2_2_17_Y=4,0.8866004185466698,True,1000
regionAndHour_2_2_18_Y=4,0.9141036071417724,True,1000
regionAndHour_2_2_19_Y=4,0.9013549876036543,True,1000
regionAndHour_2_2_20_Y=4,0.9242950190177509,True,1000
regionAndHour_2_2_21_Y=4,0.922552113949208,True,1000
regionAndHour_2_2_22_Y=4,0.8680364560401065,True,1000
regionAndHour_2_2_23_Y=4,0.922272946303917,True,1000
regionAndHour_2_3_0_Y=4,0.9922251842582285,True,1000
regionAndHour_2_3_1_Y=4,0.983047668923491,True,1000
regionAndHour_2_3_2_Y=4,0.9873360045582901,True,1000
regionAndHour_2_3_3_Y=4,0.9891303661915856,True,1000
regionAndHour_2_3_4_Y=4,0.9813058090968013,True,1000
regionAndHour_2_3_5_Y=4,0.9934588031774522,True,1000
regionAndHour_2_3_6_Y=4,0.9865840254229894,True,1000
regionAndHour_2_3_7_Y=4,0.975113248111794,True,1000
regionAndHour_2_3_8_Y=4,0.9787806082716661,True,1000
regionAndHour_2_3_9_Y=4,0.9806959844721431,True,1000
regionAndHour_2_3_10_Y=4,0.9874374687025763,True,1000
regionAndHour_2_3_11_Y=4,0.9848175883347162,True,1000
regionAndHour_2_3_12_Y=4,0.9729528541579401,True,1000
regionAndHour_2_3_13_Y=4,0.9763946421465838,True,1000
regionAndHour_2_3_14_Y=4,0.9517199506319994,True,1000
regionAndHour_2_3_15_Y=4,0.9581072161875478,True,1000
regionAndHour_2_3_16_Y=4,0.9667522315213041,True,1000
regionAndHour_2_3_17_Y=4,0.9646459394962505,True,1000
regionAndHour_2_3_18_Y=4,0.9867525797543751,True,1000
regionAndHour_2_3_19_Y=4,0.9943535854824516,True,1000
regionAndHour_2_3_20_Y=4,0.9895844212271551,True,1000
regionAndHour_2_3_21_Y=4,0.9900029103212219,True,1000
regionAndHour_2_3_22_Y=4,0.9759523671629582,True,1000
regionAndHour_2_3_23_Y=4,0.9892805442302054,True,1000
regionAndHour_3_1_0_Y=4,0.9773420385026068,True,288
regionAndHour_3_1_1_Y=4,0.9508637005361464,True,348
regionAndHour_3_1_2_Y=4,0.9828223949639795,True,429
regionAndHour_3_1_3_Y=4,0.9797508394853307,True,358
regionAndHour_3_1_4_Y=4,0.9846135555241725,True,417
regionAndHour_3_1_5_Y=4,0.984080075058874,True,359
regionAndHour_3_1_6_Y=4,0.9500017144911211,True,409
regionAndHour_3_1_7_Y=4,0.9676023358490397,True,320
regionAndHour_3_1_8_Y=4,0.991512783867234,True,513
regionAndHour_3_1_9_Y=4,0.9941582916006991,True,988
regionAndHour_3_1_10_Y=4,0.9918774750387293,True,1000
regionAndHour_3_1_11_Y=4,0.9745760938995462,True,977
regionAndHour_3_1_12_Y=4,0.9888438054719045,True,873
regionAndHour_3_1_13_Y=4,0.967230401174399,True,663
regionAndHour_3_1_14_Y=4,0.9918157919666748,True,976
regionAndHour_3_1_15_Y=4,0.9774565180261068,True,883
regionAndHour_3_1_16_Y=4,0.9768317359010237,True,955
regionAndHour_3_1_17_Y=4,0.9891077535904789,True,753
regionAndHour_3_1_18_Y=4,0.9988396472626758,True,592
regionAndHour_3_1_19_Y=4,0.9965766476680169,True,557
regionAndHour_3_1_20_Y=4,0.9646417373746374,True,510
regionAndHour_3_1_21_Y=4,0.9800695063489848,True,402
regionAndHour_3_1_22_Y=4,0.9857053761565409,True,414
regionAndHour_3_1_23_Y=4,0.9864226963564272,True,322
regionAndHour_3_2_0_Y=4,0.9865851150552474,True,1000
regionAndHour_3_2_1_Y=4,0.9978354899550731,True,1000
regionAndHour_3_2_2_Y=4,0.978202187480921,True,1000
regionAndHour_3_2_3_Y=4,0.9994936579547784,True,1000
regionAndHour_3_2_4_Y=4,0.9886961942967188,True,1000
regionAndHour_3_2_5_Y=4,0.9988687695666939,True,1000
regionAndHour_3_2_6_Y=4,0.9955938380186027,True,1000
regionAndHour_3_2_7_Y=4,0.9981369977029773,True,1000
regionAndHour_3_2_8_Y=4,0.9956778113303857,True,1000
regionAndHour_3_2_9_Y=4,0.9991979309524982,True,1000
regionAndHour_3_2_10_Y=4,0.9885045585219219,True,1000
regionAndHour_3_2_11_Y=4,0.9723721525268987,True,1000
regionAndHour_3_2_12_Y=4,0.9984248033308581,True,1000
regionAndHour_3_2_13_Y=4,0.9913077676331277,True,1000
regionAndHour_3_2_14_Y=4,0.9985674397414042,True,1000
regionAndHour_3_2_15_Y=4,0.9999683224905564,True,1000
regionAndHour_3_2_16_Y=4,0.9945359780882228,True,1000
regionAndHour_3_2_17_Y=4,0.9930029470397143,True,1000
regionAndHour_3_2_18_Y=4,0.9998030708659482,True,1000
regionAndHour_3_2_19_Y=4,0.9993311205178355,True,1000
regionAndHour_3_2_20_Y=4,0.9947663045309061,True,1000
regionAndHour_3_2_21_Y=4,0.999258514705893,True,1000
regionAndHour_3_2_22_Y=4,0.9726939447310317,True,1000
regionAndHour_3_2_23_Y=4,0.9999054846059067,True,1000
regionAndHour_3_3_0_Y=4,0.9933323484604252,True,1000
regionAndHour_3_3_1_Y=4,0.9959499335205544,True,1000
regionAndHour_3_3_2_Y=4,0.9885858642754046,True,1000
regionAndHour_3_3_3_Y=4,0.9997326152469774,True,1000
regionAndHour_3_3_4_Y=4,0.9964893603681872,True,1000
regionAndHour_3_3_5_Y=4,0.9998728798347509,True,1000
regionAndHour_3_3_6_Y=4,0.9982029169580149,True,1000
regionAndHour_3_3_7_Y=4,0.9976571804333711,True,1000
regionAndHour_3_3_8_Y=4,0.9932603242496746,True,1000
regionAndHour_3_3_9_Y=4,0.9888565021861263,True,1000
regionAndHour_3_3_10_Y=4,0.9996491077468256,True,1000
regionAndHour_3_3_11_Y=4,0.9982445020886994,True,1000
regionAndHour_3_3_12_Y=4,0.9971742058440223,True,1000
regionAndHour_3_3_13_Y=4,0.9930675557205257,True,1000
regionAndHour_3_3_14_Y=4,0.9862240008339465,True,1000
regionAndHour_3_3_15_Y=4,0.9954775506014876,True,1000
regionAndHour_3_3_16_Y=4,0.9881013204760865,True,1000
regionAndHour_3_3_17_Y=4,0.9942186129914765,True,1000
regionAndHour_3_3_18_Y=4,0.9962519126355879,True,1000
regionAndHour_3_3_19_Y=4,0.9776567170645353,True,1000
regionAndHour_3_3_20_Y=4,0.994268609631525,True,1000
regionAndHour_3_3_21_Y=4,0.9989058061143514,True,1000
regionAndHour_3_3_22_Y=4,0.999172371853533,True,1000
regionAndHour_3_3_23_Y=4,0.9965844758327177,True,1000
