Result,Average_Pvalue,H0avr,Number_of_rows
regionAndHour_1_1_0_Y=2,0.9997282603070572,True,250
regionAndHour_1_1_1_Y=2,0.9999948721652174,True,228
regionAndHour_1_1_2_Y=2,0.9995676469491026,True,150
regionAndHour_1_1_3_Y=2,0.9999416806259875,True,209
regionAndHour_1_1_4_Y=2,0.9995412490584366,True,326
regionAndHour_1_1_5_Y=2,0.9999863825018779,True,203
regionAndHour_1_1_6_Y=2,0.9999999903614483,True,309
regionAndHour_1_1_7_Y=2,0.9998652866150696,True,234
regionAndHour_1_1_8_Y=2,0.9999977371422292,True,159
regionAndHour_1_1_9_Y=2,0.9991277354482084,True,243
regionAndHour_1_1_10_Y=2,0.9999983479599969,True,314
regionAndHour_1_1_11_Y=2,0.9999999985486344,True,348
regionAndHour_1_1_12_Y=2,0.9999998040544211,True,153
regionAndHour_1_1_13_Y=2,0.9999988778341358,True,294
regionAndHour_1_1_14_Y=2,0.9998572847648504,True,325
regionAndHour_1_1_15_Y=2,0.9998872304278578,True,401
regionAndHour_1_1_16_Y=2,0.9998185509136268,True,335
regionAndHour_1_1_17_Y=2,0.9999956067203738,True,243
regionAndHour_1_1_18_Y=2,0.9999715163864681,True,411
regionAndHour_1_1_19_Y=2,0.9999876197627658,True,252
regionAndHour_1_1_20_Y=2,0.9978880680727775,True,224
regionAndHour_1_1_21_Y=2,0.9999999774615708,True,214
regionAndHour_1_1_22_Y=2,0.999999999999953,True,364
regionAndHour_1_1_23_Y=2,0.9894870489684096,True,366
regionAndHour_1_2_0_Y=2,0.9999228586599725,True,1000
regionAndHour_1_2_1_Y=2,0.9999930111820285,True,1000
regionAndHour_1_2_2_Y=2,0.993138431645007,True,1000
regionAndHour_1_2_3_Y=2,0.9991561099534854,True,1000
regionAndHour_1_2_4_Y=2,0.9983231118162438,True,1000
regionAndHour_1_2_5_Y=2,0.9626992908613664,True,1000
regionAndHour_1_2_6_Y=2,0.9924071745484552,True,1000
regionAndHour_1_2_7_Y=2,0.9995689485725693,True,1000
regionAndHour_1_2_8_Y=2,0.9990404069351373,True,1000
regionAndHour_1_2_9_Y=2,0.9997549361537338,True,1000
regionAndHour_1_2_10_Y=2,0.9980161058464609,True,1000
regionAndHour_1_2_11_Y=2,0.9985124615687335,True,1000
regionAndHour_1_2_12_Y=2,0.9996597954713449,True,1000
regionAndHour_1_2_13_Y=2,0.9993240835185516,True,1000
regionAndHour_1_2_14_Y=2,0.9984874325087684,True,1000
regionAndHour_1_2_15_Y=2,0.9992215714094775,True,1000
regionAndHour_1_2_16_Y=2,0.9999268042287613,True,1000
regionAndHour_1_2_17_Y=2,0.9965824128363626,True,1000
regionAndHour_1_2_18_Y=2,0.9711939831884138,True,1000
regionAndHour_1_2_19_Y=2,0.9913994854710986,True,1000
regionAndHour_1_2_20_Y=2,0.9996687143581477,True,1000
regionAndHour_1_2_21_Y=2,0.9998981536234895,True,1000
regionAndHour_1_2_22_Y=2,0.9999424294684138,True,1000
regionAndHour_1_2_23_Y=2,0.9958128410635131,True,1000
regionAndHour_1_3_0_Y=2,0.9441897481046473,True,1000
regionAndHour_1_3_1_Y=2,0.9583288620337013,True,1000
regionAndHour_1_3_2_Y=2,0.9238326422339439,True,1000
