Result,Average_Pvalue,H0avr,Number_of_rows
regionAndHour_1_1_0_Y=3,0.9999978714195599,True,179
regionAndHour_1_1_1_Y=3,0.999986463457577,True,167
regionAndHour_1_1_2_Y=3,0.999993086529105,True,104
regionAndHour_1_1_3_Y=3,0.9999962322765743,True,148
regionAndHour_1_1_4_Y=3,0.9996130578678497,True,242
regionAndHour_1_1_5_Y=3,0.9999945336503643,True,137
regionAndHour_1_1_6_Y=3,0.9999316174971943,True,221
regionAndHour_1_1_7_Y=3,0.9999997973796463,True,180
regionAndHour_1_1_8_Y=3,0.9997681825298285,True,113
regionAndHour_1_1_9_Y=3,0.9994951587509764,True,185
regionAndHour_1_1_10_Y=3,0.9999999506853846,True,237
regionAndHour_1_1_11_Y=3,0.9999861773667937,True,263
regionAndHour_1_1_12_Y=3,0.9998637402164301,True,111
regionAndHour_1_1_13_Y=3,0.9999999310277684,True,221
regionAndHour_1_1_14_Y=3,0.9999996140342855,True,256
regionAndHour_1_1_15_Y=3,0.9999971761327899,True,313
regionAndHour_1_1_16_Y=3,0.999988228161797,True,261
regionAndHour_1_1_17_Y=3,0.9999996027366121,True,182
regionAndHour_1_1_18_Y=3,0.9999999996275013,True,306
regionAndHour_1_1_19_Y=3,0.9999812069133887,True,191
regionAndHour_1_1_20_Y=3,0.982024148311985,True,162
regionAndHour_1_1_21_Y=3,0.9999950800253712,True,153
regionAndHour_1_1_22_Y=3,1.0,True,276
regionAndHour_1_1_23_Y=3,0.9999999999999999,True,268
regionAndHour_1_2_0_Y=3,0.9992868852070029,True,1000
regionAndHour_1_2_1_Y=3,0.9770401864495506,True,1000
regionAndHour_1_2_2_Y=3,0.998659042137065,True,1000
regionAndHour_1_2_3_Y=3,0.9981835074861831,True,1000
regionAndHour_1_2_4_Y=3,0.9971902578109997,True,1000
regionAndHour_1_2_5_Y=3,0.999737685818415,True,1000
regionAndHour_1_2_6_Y=3,0.9999819932286043,True,1000
regionAndHour_1_2_7_Y=3,0.9912450776673415,True,1000
regionAndHour_1_2_8_Y=3,0.9998901276220595,True,1000
regionAndHour_1_2_9_Y=3,0.9945278006763597,True,1000
regionAndHour_1_2_10_Y=3,0.9998874964614167,True,1000
regionAndHour_1_2_11_Y=3,0.9999984300047519,True,1000
regionAndHour_1_2_12_Y=3,0.9999947774996734,True,1000
regionAndHour_1_2_13_Y=3,0.9999976816902048,True,1000
regionAndHour_1_2_14_Y=3,0.999996862055242,True,1000
regionAndHour_1_2_15_Y=3,0.9997611717177625,True,1000
regionAndHour_1_2_16_Y=3,0.9999392939334755,True,1000
regionAndHour_1_2_17_Y=3,0.9993685476639688,True,1000
regionAndHour_1_2_18_Y=3,0.9999994375132361,True,1000
regionAndHour_1_2_19_Y=3,0.9962010071078539,True,1000
regionAndHour_1_2_20_Y=3,0.9998449784242608,True,1000
regionAndHour_1_2_21_Y=3,0.9923440260123573,True,1000
regionAndHour_1_2_22_Y=3,0.9999996466275892,True,1000
regionAndHour_1_2_23_Y=3,0.9825127881859316,True,1000
regionAndHour_1_3_0_Y=3,0.9677591253288984,True,1000
regionAndHour_1_3_1_Y=3,0.980973902351488,True,1000
regionAndHour_1_3_2_Y=3,0.9791390068379862,True,1000
regionAndHour_1_3_3_Y=3,0.9387044769658539,True,1000
regionAndHour_1_3_4_Y=3,0.9998689760954688,True,1000
regionAndHour_1_3_5_Y=3,0.9993640696570186,True,1000
regionAndHour_1_3_6_Y=3,0.9999926852439048,True,1000
regionAndHour_1_3_7_Y=3,0.9979269276376195,True,1000
regionAndHour_1_3_8_Y=3,0.9985148928909645,True,1000
regionAndHour_1_3_9_Y=3,0.9930451201598585,True,1000
regionAndHour_1_3_10_Y=3,0.992667145634266,True,1000
regionAndHour_1_3_11_Y=3,0.9835618288929332,True,1000
regionAndHour_1_3_12_Y=3,0.9851573270752736,True,1000
regionAndHour_1_3_13_Y=3,0.9849445481850652,True,1000
regionAndHour_1_3_14_Y=3,0.9872731876045276,True,1000
regionAndHour_1_3_15_Y=3,0.9539918196129801,True,1000
regionAndHour_1_3_16_Y=3,0.9950784966269998,True,1000
regionAndHour_1_3_17_Y=3,0.9902219616482223,True,1000
regionAndHour_1_3_18_Y=3,0.9748388258571883,True,1000
regionAndHour_1_3_19_Y=3,0.9251890313023514,True,1000
regionAndHour_1_3_20_Y=3,0.9757644355693079,True,1000
regionAndHour_1_3_21_Y=3,0.9720594896683126,True,1000
regionAndHour_1_3_22_Y=3,0.957154791745659,True,1000
regionAndHour_1_3_23_Y=3,0.959114621739872,True,1000
regionAndHour_2_1_0_Y=3,0.969967551021979,True,1000
regionAndHour_2_1_1_Y=3,0.9520810233350941,True,1000
regionAndHour_2_1_2_Y=3,0.9501376718510923,True,1000
regionAndHour_2_1_3_Y=3,0.9449196255334412,True,1000
regionAndHour_2_1_4_Y=3,0.9082350727932182,True,1000
regionAndHour_2_1_5_Y=3,0.967294177440885,True,1000
regionAndHour_2_1_6_Y=3,0.9570979261677515,True,1000
regionAndHour_2_1_7_Y=3,0.944561820105639,True,1000
regionAndHour_2_1_8_Y=3,0.9705993974484203,True,1000
regionAndHour_2_1_9_Y=3,0.9841898435797594,True,1000
regionAndHour_2_1_10_Y=3,0.9442823608437885,True,1000
regionAndHour_2_1_11_Y=3,0.9233027849480117,True,1000
regionAndHour_2_1_12_Y=3,0.9792561399120374,True,1000
regionAndHour_2_1_13_Y=3,0.9531000820928455,True,1000
regionAndHour_2_1_14_Y=3,0.956829317165608,True,1000
regionAndHour_2_1_15_Y=3,0.9289255521318339,True,1000
regionAndHour_2_1_16_Y=3,0.9567689767502727,True,1000
regionAndHour_2_1_17_Y=3,0.9559344741950102,True,1000
regionAndHour_2_1_18_Y=3,0.9697996725621763,True,1000
regionAndHour_2_1_19_Y=3,0.9672481440250529,True,1000
regionAndHour_2_1_20_Y=3,0.9584192526804327,True,1000
regionAndHour_2_1_21_Y=3,0.9606844159335087,True,1000
regionAndHour_2_1_22_Y=3,0.9750261849704801,True,1000
regionAndHour_2_1_23_Y=3,0.9669940111691261,True,1000
regionAndHour_2_2_0_Y=3,0.9193795465541372,True,1000
regionAndHour_2_2_1_Y=3,0.9254417207065521,True,1000
regionAndHour_2_2_2_Y=3,0.8709027534209738,True,1000
regionAndHour_2_2_3_Y=3,0.8891834574890497,True,1000
regionAndHour_2_2_4_Y=3,0.9147467206443567,True,1000
regionAndHour_2_2_5_Y=3,0.8994685528250015,True,1000
regionAndHour_2_2_6_Y=3,0.9315030332595611,True,1000
regionAndHour_2_2_7_Y=3,0.8906790609201036,True,1000
regionAndHour_2_2_8_Y=3,0.8489129195756694,True,1000
regionAndHour_2_2_9_Y=3,0.8696164908220001,True,1000
regionAndHour_2_2_10_Y=3,0.8887476666867891,True,1000
regionAndHour_2_2_11_Y=3,0.8692518182059727,True,1000
regionAndHour_2_2_12_Y=3,0.8845445175846764,True,1000
regionAndHour_2_2_13_Y=3,0.8599863454640757,True,1000
regionAndHour_2_2_14_Y=3,0.8330491880000652,True,1000
regionAndHour_2_2_15_Y=3,0.8701050769322098,True,1000
regionAndHour_2_2_16_Y=3,0.8873082789412851,True,1000
regionAndHour_2_2_17_Y=3,0.8895474901340702,True,1000
regionAndHour_2_2_18_Y=3,0.8209997629316788,True,1000
regionAndHour_2_2_19_Y=3,0.8817180940070355,True,1000
regionAndHour_2_2_20_Y=3,0.8817690319895075,True,1000
regionAndHour_2_2_21_Y=3,0.8889176400844806,True,1000
regionAndHour_2_2_22_Y=3,0.8965361331512582,True,1000
regionAndHour_2_2_23_Y=3,0.8980242103083111,True,1000
regionAndHour_2_3_0_Y=3,0.9716042915443351,True,1000
regionAndHour_2_3_1_Y=3,0.962300989412162,True,1000
regionAndHour_2_3_2_Y=3,0.9764768612458745,True,1000
regionAndHour_2_3_3_Y=3,0.9463715813856793,True,1000
regionAndHour_2_3_4_Y=3,0.9731691842966943,True,1000
regionAndHour_2_3_5_Y=3,0.9894805108023865,True,1000
regionAndHour_2_3_6_Y=3,0.9624185217761082,True,1000
regionAndHour_2_3_7_Y=3,0.9631233775582632,True,1000
regionAndHour_2_3_8_Y=3,0.9458736445708316,True,1000
regionAndHour_2_3_9_Y=3,0.9529631773603657,True,1000
regionAndHour_2_3_10_Y=3,0.90590334448131,True,1000
regionAndHour_2_3_11_Y=3,0.9441706638242445,True,1000
regionAndHour_2_3_12_Y=3,0.9648126702724893,True,1000
regionAndHour_2_3_13_Y=3,0.9696559825393161,True,1000
regionAndHour_2_3_14_Y=3,0.976375492186489,True,1000
regionAndHour_2_3_15_Y=3,0.9682524447738331,True,1000
regionAndHour_2_3_16_Y=3,0.9711031134847978,True,1000
regionAndHour_2_3_17_Y=3,0.9525119603351113,True,1000
regionAndHour_2_3_18_Y=3,0.9494244472543971,True,1000
regionAndHour_2_3_19_Y=3,0.9635014634369706,True,1000
regionAndHour_2_3_20_Y=3,0.9608212868505438,True,1000
regionAndHour_2_3_21_Y=3,0.9862638427286404,True,1000
regionAndHour_2_3_22_Y=3,0.9747647537618198,True,1000
regionAndHour_2_3_23_Y=3,0.9725418526558874,True,1000
regionAndHour_3_1_0_Y=3,0.9889535366345346,True,368
regionAndHour_3_1_1_Y=3,0.9738946714704482,True,430
regionAndHour_3_1_2_Y=3,0.9846658679006218,True,532
regionAndHour_3_1_3_Y=3,0.9719589357421732,True,451
regionAndHour_3_1_4_Y=3,0.9574208276582162,True,519
regionAndHour_3_1_5_Y=3,0.9608562335062388,True,455
regionAndHour_3_1_6_Y=3,0.9803832669093213,True,507
regionAndHour_3_1_7_Y=3,0.949626971585805,True,411
regionAndHour_3_1_8_Y=3,0.9844245464383972,True,663
regionAndHour_3_1_9_Y=3,0.9881345773685938,True,1000
regionAndHour_3_1_10_Y=3,0.9847393071993097,True,1000
regionAndHour_3_1_11_Y=3,0.9857716289826538,True,1000
regionAndHour_3_1_12_Y=3,0.9842584331120438,True,1000
regionAndHour_3_1_13_Y=3,0.9730739415414816,True,836
