Result,Average_Pvalue,H0avr,Number_of_rows
regionAndHour_1_1_0_Y=1,0.9855412570091874,True,356
regionAndHour_1_1_1_Y=1,0.9996595179786798,True,317
regionAndHour_1_1_2_Y=1,0.9647734187580685,True,219
regionAndHour_1_1_3_Y=1,0.9860835072409978,True,307
regionAndHour_1_1_4_Y=1,0.9544147705377536,True,481
regionAndHour_1_1_5_Y=1,0.9839374776521783,True,309
regionAndHour_1_1_6_Y=1,0.9713867271562725,True,457
regionAndHour_1_1_7_Y=1,0.9977620396079795,True,346
regionAndHour_1_1_8_Y=1,0.9901858263743405,True,224
regionAndHour_1_1_9_Y=1,0.958103596134376,True,342
regionAndHour_1_1_10_Y=1,0.9952018992700167,True,439
regionAndHour_1_1_11_Y=1,0.9907900346540796,True,492
regionAndHour_1_1_12_Y=1,0.9695030457023015,True,233
regionAndHour_1_1_13_Y=1,0.9937318028138127,True,411
regionAndHour_1_1_14_Y=1,0.9999073856234829,True,463
regionAndHour_1_1_15_Y=1,0.9915544629659034,True,564
regionAndHour_1_1_16_Y=1,0.9453704448072117,True,466
regionAndHour_1_1_17_Y=1,0.9999276314474738,True,350
regionAndHour_1_1_18_Y=1,0.991482998070825,True,576
regionAndHour_1_1_19_Y=1,0.9836787890830411,True,359
regionAndHour_1_1_20_Y=1,0.9800413165149008,True,319
regionAndHour_1_1_21_Y=1,0.9971795886056696,True,307
regionAndHour_1_1_22_Y=1,0.9999999999569373,True,526
regionAndHour_1_1_23_Y=1,0.9938474681780853,True,528
regionAndHour_1_2_0_Y=1,0.7973052186949587,True,1000
regionAndHour_1_2_1_Y=1,0.8933487976884753,True,1000
regionAndHour_1_2_2_Y=1,0.8185296439072567,True,1000
regionAndHour_1_2_3_Y=1,0.8328117717280605,True,1000
regionAndHour_1_2_4_Y=1,0.8601775257830611,True,1000
regionAndHour_1_2_5_Y=1,0.8210151242953075,True,1000
regionAndHour_1_2_6_Y=1,0.9096490014716835,True,1000
regionAndHour_1_2_7_Y=1,0.8821719838120712,True,1000
regionAndHour_1_2_8_Y=1,0.8992868626044977,True,1000
regionAndHour_1_2_9_Y=1,0.9240883775820136,True,1000
regionAndHour_1_2_10_Y=1,0.8627990368395116,True,1000
regionAndHour_1_2_11_Y=1,0.8808392708881302,True,1000
regionAndHour_1_2_12_Y=1,0.8894335801518454,True,1000
regionAndHour_1_2_13_Y=1,0.8378147361224163,True,1000
regionAndHour_1_2_14_Y=1,0.8953105907912989,True,1000
regionAndHour_1_2_15_Y=1,0.9057144360383439,True,1000
regionAndHour_1_2_16_Y=1,0.9118647351030077,True,1000
regionAndHour_1_2_17_Y=1,0.9320513144430516,True,1000
regionAndHour_1_2_18_Y=1,0.8941422671103014,True,1000
regionAndHour_1_2_19_Y=1,0.8383132731425603,True,1000
regionAndHour_1_2_20_Y=1,0.8380883322753973,True,1000
regionAndHour_1_2_21_Y=1,0.8655169626146479,True,1000
regionAndHour_1_2_22_Y=1,0.7908012413545209,True,1000
regionAndHour_1_2_23_Y=1,0.8911877481670226,True,1000
regionAndHour_1_3_0_Y=1,0.24816618365990992,True,1000
regionAndHour_1_3_1_Y=1,0.3563847413682123,True,1000
regionAndHour_1_3_2_Y=1,0.3409385885007244,True,1000
regionAndHour_1_3_3_Y=1,0.5424384257728537,True,1000
regionAndHour_1_3_4_Y=1,0.8535444598785097,True,1000
regionAndHour_1_3_5_Y=1,0.8581523391259614,True,1000
