Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
regionAndHour_2_2_0_Y=1,0.6,0.4,0.53287854,TRUE,1000
regionAndHour_2_2_1_Y=1,0.2,0.8,0.137473833,TRUE,1000
regionAndHour_2_2_2_Y=1,0.6,0.4,0.567853166,TRUE,1000
regionAndHour_2_2_3_Y=1,0.4,0.6,0.4,TRUE,1000
regionAndHour_2_2_4_Y=1,0.4,0.6,0.400000077,TRUE,1000
regionAndHour_2_2_5_Y=1,0.8,0.2,0.684981907,TRUE,1000
regionAndHour_2_2_6_Y=1,0.6,0.4,0.56263204,TRUE,1000
regionAndHour_2_2_7_Y=1,0.4,0.6,0.34599926,TRUE,1000
regionAndHour_2_2_8_Y=1,0.2,0.8,0.093855696,TRUE,1000
regionAndHour_2_2_9_Y=1,0.6,0.4,0.537150901,TRUE,1000
regionAndHour_2_2_10_Y=1,0,1,1.41E-27,FALSE,1000
regionAndHour_2_2_11_Y=1,0.2,0.8,0.017309251,FALSE,1000
regionAndHour_2_2_12_Y=1,0.6,0.4,0.598318551,TRUE,1000
regionAndHour_2_2_13_Y=1,0,1,0.001926955,FALSE,1000
regionAndHour_2_2_14_Y=1,0.2,0.8,0.207377051,TRUE,1000
regionAndHour_2_2_15_Y=1,0.2,0.8,0.017920304,FALSE,1000
regionAndHour_2_2_16_Y=1,0,1,3.61E-36,FALSE,1000
regionAndHour_2_2_17_Y=1,0,1,4.40E-17,FALSE,1000
regionAndHour_2_2_18_Y=1,0.6,0.4,0.457648447,TRUE,1000
regionAndHour_2_2_19_Y=1,0.6,0.4,0.405104796,TRUE,1000
regionAndHour_2_2_20_Y=1,0.4,0.6,0.398363174,TRUE,1000
regionAndHour_2_2_21_Y=1,0,1,2.31E-28,FALSE,1000
regionAndHour_2_2_22_Y=1,0,1,0.000146136,FALSE,1000
regionAndHour_2_2_23_Y=1,0.8,0.2,0.799977563,TRUE,1000
regionAndHour_2_3_0_Y=1,1,0,0.785143087,TRUE,1000
regionAndHour_2_3_1_Y=1,1,0,1,TRUE,1000
regionAndHour_2_3_2_Y=1,0.8,0.2,0.794051693,TRUE,1000
regionAndHour_2_3_3_Y=1,1,0,0.914072558,TRUE,1000
regionAndHour_2_3_4_Y=1,1,0,0.676037344,TRUE,1000
regionAndHour_2_3_5_Y=1,1,0,0.881457271,TRUE,1000
regionAndHour_2_3_6_Y=1,1,0,0.997547095,TRUE,1000
regionAndHour_2_3_7_Y=1,1,0,0.904175178,TRUE,1000
regionAndHour_2_3_8_Y=1,1,0,0.999051339,TRUE,1000
regionAndHour_2_3_9_Y=1,1,0,0.999919919,TRUE,1000
regionAndHour_2_3_10_Y=1,1,0,0.967641642,TRUE,1000
regionAndHour_2_3_11_Y=1,0.8,0.2,0.738487341,TRUE,1000
regionAndHour_2_3_12_Y=1,0.8,0.2,0.800182416,TRUE,1000
regionAndHour_2_3_13_Y=1,0.6,0.4,0.406356534,TRUE,1000
regionAndHour_2_3_14_Y=1,0.4,0.6,0.399726161,TRUE,1000
regionAndHour_2_3_15_Y=1,1,0,0.97676125,TRUE,1000
regionAndHour_2_3_16_Y=1,1,0,0.99999996,TRUE,1000
regionAndHour_2_3_17_Y=1,0.8,0.2,0.799988706,TRUE,1000
regionAndHour_2_3_18_Y=1,1,0,0.882879305,TRUE,1000
regionAndHour_2_3_19_Y=1,0.6,0.4,0.599163253,TRUE,1000
regionAndHour_2_3_20_Y=1,0.8,0.2,0.509464771,TRUE,1000
regionAndHour_2_3_21_Y=1,0.8,0.2,0.591840603,TRUE,1000
regionAndHour_2_3_22_Y=1,0.2,0.8,0.199874234,TRUE,1000
regionAndHour_2_3_23_Y=1,1,0,1,TRUE,1000
regionAndHour_3_2_0_Y=1,0.6,0.4,0.584557245,TRUE,1000
regionAndHour_3_2_1_Y=1,0.8,0.2,0.800474896,TRUE,1000
regionAndHour_3_2_2_Y=1,1,0,0.998018313,TRUE,1000
regionAndHour_3_2_3_Y=1,0.6,0.4,0.409104988,TRUE,1000
regionAndHour_3_2_4_Y=1,1,0,0.999999999,TRUE,1000
regionAndHour_3_2_5_Y=1,0.6,0.4,0.402612264,TRUE,1000
regionAndHour_3_2_6_Y=1,0.6,0.4,0.601639893,TRUE,1000
regionAndHour_3_2_7_Y=1,1,0,0.950316007,TRUE,1000
regionAndHour_3_2_8_Y=1,1,0,0.914034416,TRUE,1000
regionAndHour_3_2_9_Y=1,1,0,0.999977847,TRUE,1000
regionAndHour_3_2_10_Y=1,0.8,0.2,0.709147776,TRUE,1000
regionAndHour_3_2_11_Y=1,1,0,0.975171899,TRUE,1000
regionAndHour_3_2_12_Y=1,1,0,0.737504004,TRUE,1000
regionAndHour_3_2_13_Y=1,0.8,0.2,0.776786695,TRUE,1000
regionAndHour_3_2_14_Y=1,0.6,0.4,0.599628239,TRUE,1000
regionAndHour_3_2_15_Y=1,0.6,0.4,0.4978205,TRUE,1000
regionAndHour_3_2_16_Y=1,0.4,0.6,0.129246932,TRUE,1000
regionAndHour_3_2_17_Y=1,0.4,0.6,0.277807977,TRUE,1000
regionAndHour_3_2_18_Y=1,0.4,0.6,0.255896474,TRUE,1000
regionAndHour_3_2_19_Y=1,0.4,0.6,0.37940179,TRUE,1000
regionAndHour_3_2_20_Y=1,0.8,0.2,0.785639481,TRUE,1000
regionAndHour_3_2_21_Y=1,0,1,0.000196888,FALSE,1000
