Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
regionAndHour_2_2_0_Y=4,1,0,0.999994162,TRUE,1000
regionAndHour_2_2_1_Y=4,1,0,0.999905073,TRUE,1000
regionAndHour_2_2_2_Y=4,1,0,0.999999924,TRUE,1000
regionAndHour_2_2_3_Y=4,1,0,0.999999452,TRUE,1000
regionAndHour_2_2_4_Y=4,1,0,0.999999987,TRUE,1000
regionAndHour_2_2_5_Y=4,1,0,0.999999999,TRUE,1000
regionAndHour_2_2_6_Y=4,1,0,1,TRUE,1000
regionAndHour_2_2_7_Y=4,1,0,0.999999999,TRUE,1000
regionAndHour_2_2_8_Y=4,1,0,0.997183759,TRUE,1000
regionAndHour_2_2_9_Y=4,1,0,0.999989617,TRUE,1000
regionAndHour_2_2_10_Y=4,1,0,0.999996347,TRUE,1000
regionAndHour_2_2_11_Y=4,1,0,0.994009418,TRUE,1000
regionAndHour_2_2_12_Y=4,1,0,0.999999598,TRUE,1000
regionAndHour_2_2_13_Y=4,1,0,1,TRUE,1000
regionAndHour_2_2_14_Y=4,1,0,0.999999915,TRUE,1000
regionAndHour_2_2_15_Y=4,1,0,0.999998075,TRUE,1000
regionAndHour_2_2_16_Y=4,1,0,0.999995671,TRUE,1000
regionAndHour_2_2_17_Y=4,1,0,0.995724525,TRUE,1000
regionAndHour_2_2_18_Y=4,1,0,0.999999996,TRUE,1000
regionAndHour_2_2_19_Y=4,1,0,0.999998843,TRUE,947
regionAndHour_2_2_20_Y=4,1,0,0.994704603,TRUE,812
regionAndHour_2_2_21_Y=4,1,0,0.997102709,TRUE,1000
regionAndHour_2_2_22_Y=4,1,0,0.983456224,TRUE,1000
regionAndHour_2_2_23_Y=4,1,0,0.999997332,TRUE,1000
regionAndHour_2_3_0_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_1_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_2_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_3_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_4_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_5_Y=4,1,0,0.999998846,TRUE,1000
regionAndHour_2_3_6_Y=4,1,0,0.999999996,TRUE,1000
regionAndHour_2_3_7_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_8_Y=4,1,0,0.999996966,TRUE,1000
regionAndHour_2_3_9_Y=4,1,0,0.999999888,TRUE,1000
regionAndHour_2_3_10_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_11_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_12_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_13_Y=4,1,0,0.999999999,TRUE,1000
regionAndHour_2_3_14_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_15_Y=4,1,0,0.999999999,TRUE,1000
regionAndHour_2_3_16_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_17_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_18_Y=4,1,0,0.999999702,TRUE,1000
regionAndHour_2_3_19_Y=4,1,0,1,TRUE,1000
regionAndHour_2_3_20_Y=4,1,0,0.9999908,TRUE,1000
regionAndHour_2_3_21_Y=4,1,0,0.999999599,TRUE,1000
regionAndHour_2_3_22_Y=4,1,0,0.999994383,TRUE,1000
regionAndHour_2_3_23_Y=4,1,0,1,TRUE,1000
regionAndHour_3_2_0_Y=4,1,0,0.999996723,TRUE,1000
regionAndHour_3_2_1_Y=4,1,0,0.999989721,TRUE,1000
regionAndHour_3_2_2_Y=4,1,0,1,TRUE,1000
regionAndHour_3_2_3_Y=4,1,0,1,TRUE,1000
regionAndHour_3_2_4_Y=4,1,0,1,TRUE,1000
regionAndHour_3_2_5_Y=4,1,0,1,TRUE,1000
regionAndHour_3_2_6_Y=4,1,0,0.999999949,TRUE,1000
regionAndHour_3_2_7_Y=4,1,0,0.999999991,TRUE,1000
regionAndHour_3_2_8_Y=4,1,0,0.999986907,TRUE,1000
regionAndHour_3_2_9_Y=4,1,0,1,TRUE,1000
regionAndHour_3_2_10_Y=4,1,0,1,TRUE,1000
regionAndHour_3_2_11_Y=4,1,0,0.999999996,TRUE,1000
regionAndHour_3_2_12_Y=4,1,0,1,TRUE,1000
regionAndHour_3_2_13_Y=4,1,0,0.999998325,TRUE,1000
