Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
regionAndHour_2_2_0_Y=2,1,0,0.949463189,TRUE,1000
regionAndHour_2_2_1_Y=2,1,0,0.999983188,TRUE,1000
regionAndHour_2_2_2_Y=2,1,0,0.851884285,TRUE,1000
regionAndHour_2_2_3_Y=2,1,0,0.928081384,TRUE,1000
regionAndHour_2_2_4_Y=2,1,0,0.999999652,TRUE,1000
regionAndHour_2_2_5_Y=2,1,0,0.972307892,TRUE,1000
regionAndHour_2_2_6_Y=2,0.8,0.2,0.710268993,TRUE,1000
regionAndHour_2_2_7_Y=2,1,0,0.997856473,TRUE,1000
regionAndHour_2_2_8_Y=2,1,0,0.999078784,TRUE,1000
regionAndHour_2_2_9_Y=2,1,0,0.954685071,TRUE,1000
regionAndHour_2_2_10_Y=2,1,0,0.999997918,TRUE,1000
regionAndHour_2_2_11_Y=2,1,0,0.578650592,TRUE,1000
regionAndHour_2_2_12_Y=2,1,0,0.81645141,TRUE,1000
regionAndHour_2_2_13_Y=2,1,0,0.999831711,TRUE,1000
regionAndHour_2_2_14_Y=2,1,0,0.864470071,TRUE,1000
regionAndHour_2_2_15_Y=2,1,0,0.999888293,TRUE,1000
regionAndHour_2_2_16_Y=2,1,0,0.939352712,TRUE,1000
regionAndHour_2_2_17_Y=2,1,0,0.998284275,TRUE,1000
regionAndHour_2_2_18_Y=2,1,0,0.999999906,TRUE,1000
regionAndHour_2_2_19_Y=2,1,0,0.999993555,TRUE,1000
regionAndHour_2_2_20_Y=2,1,0,0.999987149,TRUE,1000
regionAndHour_2_2_21_Y=2,0.8,0.2,0.623082773,TRUE,1000
regionAndHour_2_2_22_Y=2,1,0,0.522005208,TRUE,1000
regionAndHour_2_2_23_Y=2,0.8,0.2,0.566676775,TRUE,1000
regionAndHour_2_3_0_Y=2,1,0,1,TRUE,1000
regionAndHour_2_3_1_Y=2,1,0,0.996167731,TRUE,1000
regionAndHour_2_3_2_Y=2,1,0,0.999999223,TRUE,1000
regionAndHour_2_3_3_Y=2,1,0,0.999999846,TRUE,1000
regionAndHour_2_3_4_Y=2,1,0,0.99999997,TRUE,1000
regionAndHour_2_3_5_Y=2,1,0,0.999998527,TRUE,1000
regionAndHour_2_3_6_Y=2,1,0,0.999999987,TRUE,1000
regionAndHour_2_3_7_Y=2,1,0,0.999909011,TRUE,1000
regionAndHour_2_3_8_Y=2,1,0,0.999999716,TRUE,1000
regionAndHour_2_3_9_Y=2,1,0,0.99999994,TRUE,1000
regionAndHour_2_3_10_Y=2,1,0,0.999999999,TRUE,1000
regionAndHour_2_3_11_Y=2,1,0,0.999998064,TRUE,1000
regionAndHour_2_3_12_Y=2,1,0,0.99997424,TRUE,1000
regionAndHour_2_3_13_Y=2,1,0,0.960071501,TRUE,1000
regionAndHour_2_3_14_Y=2,1,0,0.999999185,TRUE,1000
regionAndHour_2_3_15_Y=2,1,0,1,TRUE,1000
regionAndHour_2_3_16_Y=2,1,0,0.998195554,TRUE,1000
regionAndHour_2_3_17_Y=2,1,0,0.999950047,TRUE,1000
regionAndHour_2_3_18_Y=2,1,0,1,TRUE,1000
regionAndHour_2_3_19_Y=2,1,0,0.999991823,TRUE,1000
regionAndHour_2_3_20_Y=2,1,0,0.999988117,TRUE,1000
regionAndHour_2_3_21_Y=2,1,0,0.999959242,TRUE,1000
regionAndHour_2_3_22_Y=2,1,0,0.998788588,TRUE,1000
regionAndHour_2_3_23_Y=2,1,0,0.998876145,TRUE,1000
regionAndHour_3_2_0_Y=2,1,0,0.999005383,TRUE,1000
regionAndHour_3_2_1_Y=2,1,0,0.999970911,TRUE,1000
regionAndHour_3_2_2_Y=2,1,0,0.99995838,TRUE,1000
regionAndHour_3_2_3_Y=2,1,0,0.999998818,TRUE,1000
regionAndHour_3_2_4_Y=2,1,0,1,TRUE,1000
regionAndHour_3_2_5_Y=2,1,0,0.999999065,TRUE,1000
regionAndHour_3_2_6_Y=2,1,0,0.999999952,TRUE,1000
