Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
regionAndHour_3_3_7_Y=5,1.0,0.0,0.9999999999999943,True,1000
regionAndHour_3_3_8_Y=5,1.0,0.0,0.9999999999999915,True,1000
regionAndHour_3_3_9_Y=5,1.0,0.0,1.0,True,1000
regionAndHour_3_3_10_Y=5,1.0,0.0,0.9999999999999304,True,1000
regionAndHour_3_3_11_Y=5,1.0,0.0,1.0,True,1000
regionAndHour_3_3_12_Y=5,1.0,0.0,1.0,True,1000
regionAndHour_3_3_13_Y=5,1.0,0.0,0.9999999999996063,True,1000
regionAndHour_3_3_14_Y=5,1.0,0.0,1.0,True,1000
regionAndHour_3_3_15_Y=5,1.0,0.0,0.999999999998324,True,1000
regionAndHour_3_3_16_Y=5,1.0,0.0,0.9999999999999993,True,1000
regionAndHour_3_3_17_Y=5,1.0,0.0,0.9999999738568721,True,1000
regionAndHour_3_3_18_Y=5,1.0,0.0,0.9999999999999976,True,1000
regionAndHour_3_3_19_Y=5,1.0,0.0,1.0,True,1000
regionAndHour_3_3_20_Y=5,1.0,0.0,0.9999999999987141,True,1000
regionAndHour_3_3_21_Y=5,1.0,0.0,0.9999999999796969,True,1000
regionAndHour_3_3_22_Y=5,1.0,0.0,0.9999978654398471,True,1000
regionAndHour_3_3_23_Y=5,1.0,0.0,0.9999999999977686,True,1000
