osmid,y,x,street_count,highway,ref,geometry
26016419,41.1670798,-8.6424338,3,motorway_junction,,POINT (-8.6424338 41.1670798)
26016423,41.1661784,-8.6438364,3,,,POINT (-8.6438364 41.1661784)
26016441,41.1583005,-8.6473116,3,,,POINT (-8.6473116 41.1583005)
26016457,41.1517091,-8.6426829,3,,,POINT (-8.6426829 41.1517091)
26016458,41.1516478,-8.6423205,3,,,POINT (-8.6423205 41.1516478)
26016466,41.1497612,-8.6408358,3,motorway_junction,,POINT (-8.6408358 41.1497612)
26016750,41.1674738,-8.6418896,3,,,POINT (-8.6418896 41.1674738)
26057853,41.180349,-8.5920399,3,,,POINT (-8.5920399 41.180349)
26122670,41.1807558,-8.6209585,4,,,POINT (-8.6209585 41.1807558)
26122693,41.1798161,-8.6239494,3,,,POINT (-8.6239494 41.1798161)
26122707,41.1799712,-8.6224076,3,motorway_junction,,POINT (-8.6224076 41.1799712)
26122713,41.1735411,-8.5945277,3,,,POINT (-8.5945277 41.1735411)
26122714,41.1734158,-8.5947981,3,motorway_junction,1,POINT (-8.5947981 41.1734158)
26122720,41.179984,-8.5930012,3,,,POINT (-8.5930012 41.179984)
26122784,41.1807675,-8.593171,3,motorway_junction,2,POINT (-8.593171 41.1807675)
60795247,41.170477,-8.6381035,3,,,POINT (-8.6381035 41.170477)
90378707,41.1588568,-8.6287846,3,,,POINT (-8.6287846 41.1588568)
90378713,41.1569781,-8.6293986,3,,,POINT (-8.6293986 41.1569781)
90378716,41.1578854,-8.6279429,3,,,POINT (-8.6279429 41.1578854)
90379359,41.1553047,-8.6721497,3,,,POINT (-8.6721497 41.1553047)
90379616,41.1549353,-8.673123,3,,,POINT (-8.673123 41.1549353)
90379618,41.1548381,-8.6723795,3,,,POINT (-8.6723795 41.1548381)
90379759,41.1534242,-8.6756822,4,,,POINT (-8.6756822 41.1534242)
90380150,41.1549514,-8.6773006,3,,,POINT (-8.6773006 41.1549514)
90380817,41.1497859,-8.6761166,4,,,POINT (-8.6761166 41.1497859)
90381067,41.148765,-8.672922,5,,,POINT (-8.672922 41.148765)
90381086,41.1476677,-8.6731276,3,,,POINT (-8.6731276 41.1476677)
111415443,41.1603361,-8.6439449,4,,,POINT (-8.6439449 41.1603361)
111415445,41.1600204,-8.6420585,4,,,POINT (-8.6420585 41.1600204)
111415446,41.1589918,-8.6358336,4,,,POINT (-8.6358336 41.1589918)
111416206,41.1608081,-8.6581766,4,,,POINT (-8.6581766 41.1608081)
111428003,41.1681621,-8.6880264,3,,,POINT (-8.6880264 41.1681621)
