u,v,highway,length
111428028,1249809161,primary,45.223
111429621,1249809161,primary,41.371
111429621,4468690383,primary,146.784
111439225,311887304,primary,290.374
111439225,311887306,primary,157.031
111447960,9291072844,primary,67.059
111447963,111447960,primary,91.908
111447963,111447973,primary,583.581
111447973,111447963,primary,583.581
111447973,4505031812,primary,320.404
111447973,4773520967,residential,62.179
111448461,479522005,secondary,76.456
111448461,1353859190,primary,68.143
111449494,111448461,primary,6.296
111449494,1840161050,tertiary,125.707
111451963,111447963,primary,100.258
111451963,111447960,primary,26.042
111459759,111459776,primary,714.837
111459759,285910461,primary,215.451
111459759,4477706859,residential,339.537
111459776,111459780,primary,137.587
111459776,111459759,primary,714.837
111459780,111459776,primary,137.587
111459780,111467270,primary,198.103
111459780,478903689,living_street,50.074
111461666,111461672,secondary,154.579
111461672,478902811,tertiary_link,19.524
111461672,1353874575,secondary,51.136
111464592,3092548270,motorway_link,957.685
111464592,26016457,motorway,318.148
111467270,478863000,residential,26.513
111467270,111459780,primary,198.103
111467270,111467271,primary,89.683
111467271,478821668,primary,111.072
111467271,478632189,secondary,29.695
111467271,111467270,primary,89.683
111467467,122549700,primary,278.664
111467467,478821940,primary,454.347
111467467,478646205,residential,231.452
111481288,1771990365,primary,331.466
111481288,2356350502,residential,133.708
111481288,2080756633,primary,79.184
111481561,2207418932,secondary,62.539
111481561,2356350457,secondary,101.73
111481848,111481561,residential,64.142
111481848,286969970,residential,120.703
111481848,286969936,residential,95.562
111503635,111428008,primary,36.295
111503635,111505998,primary,508.536
111505998,111503635,primary,508.536
111505998,111508025,primary,42.433
111508025,111508026,primary,9.972
111508026,1236467507,primary,382.987
111619646,111505998,primary,44.993
111619646,111508025,primary,36.849
111630982,3753025800,residential,66.449
111630982,3139458017,primary,204.475
111636733,5297848077,primary,17.291
111636738,1353862705,primary,82.076
111649545,5476877921,primary_link,112.579
111799455,12170698317,primary,62.288
111799455,2585503026,primary,34.128
111830195,1264279327,primary,277.311
111830195,510786361,residential,75.105
112263308,111649545,motorway_link,199.305
112265315,111649545,primary_link,139.578
112265315,429378624,tertiary_link,49.137
112288397,112288401,secondary_link,28.915
112288397,4468029573,secondary_link,54.986
112288401,112288397,secondary_link,28.915
112288401,112290053,secondary_link,33.501
112290052,112580529,secondary,47.649
112290052,112580224,secondary_link,59.823
112290052,112291402,secondary,142.61
112290053,112552937,secondary_link,35.676
112290053,112291402,secondary,34.346
112290053,112290054,secondary,35.244
112290054,429541655,residential,345.417
112290054,4505318816,secondary,39.281
112290054,112290053,secondary,35.244
112291402,112288401,secondary_link,35.371
112291402,112290052,secondary,142.61
112291402,112290053,secondary,34.346
112552931,112552937,secondary_link,17.867
112552931,10065738784,secondary_link,60.565
112552937,112291402,secondary_link,40.873
112552937,112552931,secondary_link,17.867
112580224,422547977,secondary,886.806
112580224,112580529,secondary,32.848
112580529,112581017,secondary,37.438
112580529,112290052,secondary,47.649
112580529,112580224,secondary,32.848
112581017,112580529,secondary,37.438
112581017,112290052,secondary_link,60.453
112581017,429378624,secondary,108.073
112589349,4507024043,motorway_link,27.702
112589349,4722746602,motorway,21.976
112594210,2215508913,secondary,65.678
112594210,4722746637,motorway,413.992
112594210,4438014887,secondary,169.185
112594236,112594241,motorway_link,84.851
112594236,2322018094,secondary,45.442
112594241,25503936,motorway_link,36.306
112594241,112594525,residential,32.717
112594525,4297946723,residential,90.569
112595515,2322018094,motorway_link,71.872
112613531,112613532,primary,93.925
112613532,112613542,primary,379.145
112613532,429378647,secondary,159.533
112613542,1561604109,primary,374.129
112613584,112652015,secondary,17.864
112613584,431647245,secondary,68.691
112613584,112613589,primary,188.591
112613589,444004651,residential,192.346
112613589,444004652,primary,12.838
112613592,112652004,primary_link,19.253
112613592,112613596,primary,185.974
112613592,444004655,tertiary,85.015
112613596,444004620,residential,145.491
112613596,3139458294,primary,200.05
112613601,420807840,residential,555.373
112613601,420776909,primary,552.318
112613601,430006697,secondary,418.804
112613620,432578837,residential,68.823
112613620,432578836,primary,269.244
112613628,1731171039,secondary,24.377
112613628,112613629,primary,20.75
112613629,128651490,primary,99.985
112613636,112617114,primary,99.17
112617114,789695249,primary,100.756
112617114,789686042,residential,84.02
112617118,112617119,primary,30.328
112617119,447872446,primary,135.479
112617132,921193542,residential,150.016
112617132,112617134,primary,62.048
112617134,1224763596,primary,31.522
112617137,1731169678,living_street,107.48
112617137,11445322424,primary,229.337
112617141,10716083568,primary,255.313
112617141,11439034453,primary,100.744
112617147,1548088459,residential,59.072
112617147,112617153,primary,113.648
112617153,128655622,secondary,96.973
112617153,112617158,primary,206.533
112617158,1207572285,primary,198.525
112617168,5291944065,primary,131.247
112617168,114310261,primary,187.224
112617174,112618365,primary,571.469
112618339,112618345,primary,63.485
112618339,314536515,motorway_link,157.944
112618345,112618347,primary,21.343
112618347,112618350,primary,39.862
112618347,663689241,secondary,40.816
112618350,11364647285,primary,9.255
112618365,112618339,primary,19.689
112641245,4723433446,trunk,260.102
112651995,446308238,primary,106.719
112652003,112613592,primary_link,52.8
112652003,112652004,primary,59.647
112652004,2169139649,primary,16.631
112652015,112613584,secondary,17.864
112652015,430284833,secondary,55.644
112652015,112652019,primary,368.612
112652019,3139458284,residential,62.074
112652932,26057853,primary,137.507
112675715,1110673414,secondary,270.762
112675715,90378716,primary,34.826
112677103,343646792,residential,81.22
112677103,126597343,secondary,96.125
112677104,112677103,secondary,63.256
112686793,1771990365,secondary,20.942
112688608,1594598177,primary,19.949
112688608,560975933,residential,23.264
112688608,112688628,primary,706.583
112688628,1548061855,primary,51.061
112688628,112688608,primary,706.583
114310261,5291944065,primary_link,88.181
114310261,2583877577,primary,31.669
114310686,114310696,motorway,393.716
114310686,25507581,motorway_link,482.683
114310696,114310699,motorway,203.592
114310699,114310705,motorway,146.472
114310705,114310714,motorway,287.205
114310705,25507600,motorway_link,290.395
114310714,9681200397,primary,4.614
114312390,114314002,motorway_link,370.028
114312390,114310696,motorway_link,235.487
114314002,1103952822,motorway,1354.122
114315556,25507591,motorway_link,250.443
114315556,114315563,motorway,190.585
114315563,25507594,motorway_link,273.686
114315563,114315578,motorway,275.312
114315578,114314002,motorway,524.956
114320429,1548073774,primary,852.008
114320429,114320432,primary,10.504
114320432,114315556,motorway,36.852
114320432,114310714,primary,24.848
114320445,114320452,primary,15.095
114320452,276932740,primary,162.429
114320452,114320458,primary,37.214
114320458,9681200396,primary,5.072
114320465,114320429,primary,8.87
114323948,5239695595,residential,84.233
114323948,114320465,residential,29.238
114324784,114320445,secondary,45.523
114324784,297369596,secondary,450.989
